,enc,type,count
868,93,AttentionLoopState,10
869,476,Optional[Axis],10
870,939,spark.Column,10
871,100,BalanceProofSignedState,10
872,210,"Dict[QueueIdentifier, List[Message]]",10
873,615,SafeLineLoader,10
874,92,Attendable,10
875,435,MessageID,9
876,754,TypeInfo,9
877,120,Cache,9
878,116,BoundsInput,9
879,527,"Optional[Union[float, datetime.timedelta]]",9
880,69,AbstractSet[int],9
881,551,Optional[type],9
882,260,ExtensionArray,9
883,755,Type['Model'],9
884,552,Optional[tzinfo],9
885,553,OrderedDict,9
886,249,Entry,9
887,238,DiscoveryInfoType,9
888,769,"Union[Any, Tuple]",9
889,604,RequestHandler,9
890,772,"Union[Criterion, T]",9
891,760,Type[Self],9
892,271,FirmataPinType,9
893,774,"Union[Dict, Tuple]",9
894,125,"Callable[..., str]",9
895,766,Union['PublicKey'],9
896,765,"Union['DataFrame', 'Series']",9
897,80,AggFuncType,9
898,102,BaseDBAsyncClient,9
899,127,"Callable[[Any], None]",9
900,464,NonSourceCompiledNode,9
901,508,Optional[Message],9
902,313,IT,9
903,41,"""""""SparseArray""""""",9
904,815,V1Secret,9
905,477,Optional[BaseDBAsyncClient],9
906,40,"""""""Size""""""",9
907,823,ViewMocks,9
908,454,"MutableMapping[str, Any]",9
909,215,"Dict[int, str]",9
910,312,IO[str],9
911,840,_Deco,9
912,277,Forecast,9
913,470,Optimizer,9
914,842,_InfoDict,9
915,468,OneToNAddress,9
916,154,Collection[Feature],9
917,844,_Q,9
918,325,Int64Index,9
919,37,"""""""Realm""""""",9
920,720,TrainEnv,9
921,140,ChainDatabaseAPI,9
922,139,ChainAPI,9
923,42,"""""""Storage""""""",9
924,864,ast.Subscript,9
925,64,ABY3,9
926,63,ABI,9
927,61,"""""""transaction_model.TransactionModel""""""",9
928,566,PendingMessage,9
929,567,PermissionLookup,9
930,496,Optional[Gender],9
931,734,"Tuple[Optional[spark.Column], Optional[int], Optional[int]]",9
932,786,"Union[int, List[int]]",9
933,790,"Union[int, tf.Tensor]",9
934,489,Optional[DiscoveryInfoType],9
935,288,GraphQLObjectType,9
936,866,ast.expr,9
937,452,MultiIndex,9
938,587,QueryFn,9
939,453,MultitaskClassifier,9
940,135,CancelExperimentMocks,9
941,807,UniqueId,9
942,793,"Union[str, ChannelT]",9
943,599,RegistryEntry,9
944,985,"typing.Tuple[str, Highlights]",9
945,8,"""""""ClientRequest""""""",9
946,406,List[mx.nd.NDArray],9
947,419,MODEL,9
948,204,Dialect,9
949,965,"tp.Callable[..., tp.Any]",9
950,159,Composition,9
951,376,List[MediationPairState],9
952,408,List[range],9
953,613,RoutingMode,9
954,919,np.random.RandomState,9
